Map,Date,Time,Waiting Time,Duration,Result,Score,Ping,Kills,Assists,Death,MVPS,HS Percentage,Points
Cache, 2018-03-22, 20:46:12, 02:43, 43:11, Lost, 14:16,45,26,3,22,2,0.42,56
Mirage, 2018-03-22, 19:57:40, 01:00, 41:54, Won, 16:12,42,22,7,18,1,0.5,60
Cobblestone, 2018-03-23, 18:19:32, 04:00, 39:56, Lost, 7:16,42,17,3,13,4,0.29,45
Overpass, 2018-03-23, 17:33:40, 03:43, 34:48, Won, 16:6,55,22,3,10,4,0.27,51
Inferno, 2018-03-23, 16:49:56, 04:02, 36:02, Lost, 16:6,47,14,4,22,1,0.57,32
Cache, 2018-03-26, 17:20:12, 03:33, 45:28, Lost, 14:16,42,30,2,23,3,0.33,63
Nuke, 2018-03-26, 16:28:04, 04:06, 42:31, Won, 16:10,45,14,7,20,3,0.14,37
Mirage, 2018-04-04, 15:11:16, 01:30, 36:46, Won, 16:9,48,13,3,18,3,0.46,29
Inferno, 2018-04-04, 14:38:20, 03:25, 28:10, Won, 16:3,54,14,1,8,1,0.35,32
Inferno, 2018-04-07, 21:28:20, 01:56, 57:17, Lost, 13:16,45,26,5,21,2,0.46,63
Mirage, 2018-04-07, 20:39:48, 03:23, 43:10, Lost, 16:10,41,26,0,18,2,0.42,58
Cache, 2018-04-07, 19:52:36, 03:41, 41:12, Lost, 16:8,40,20,6,17,1,0.55,52
Cache, 2018-04-12, 17:59:09, 00:27, 45:45, Lost, 13:16,43,23,4,21,3,0.34,57
Cache, 2018-04-12, 17:03:41, 03:35, 49:01, Won, 16:14,43,21,6,16,1,0.47,59
Inferno, 2018-04-20, 21:03:11, 01:36, 52:42, Lost, 13:16,57,39,4,16,6,0.41,88
Cache, 2018-04-20, 19:54:47, 01:05, 50:21, Won, 16:14,44,33,6,20,8,0.45,81
Overpass, 2018-04-20, 18:56:31, 00:21, 39:45, Lost, 10:16,44,19,4,15,2,0.26,47
Cache, 2018-05-03, 13:54:35, 01:40, 44:01, Won, 16:12,55,23,3,23,1,0.39,53
Mirage, 2018-05-03, 13:45:31, 01:28, 05:07, Lost, 0:5,44,1,0,4,0,1,2
