Map,Date,Time,Waiting Time,Duration,Result,Score,Ping,Kills,Assists,Death,MVPS,HS Percentage,Points
Mirage, 2020-03-11, 22:17:12, 02:20, 47:28, Lost, 11:16,33,23,4,18,6,0.34,59
Overpass, 2020-03-14, 22:27:22, 00:24, 37:29, Lost, 16:8,42,29,9,18,4,0.13,74
Dust II, 2020-03-17, 22:07:54, 02:12, 43:22, Lost, 12:16,47,21,2,20,4,0.19,58
Dust II, 2020-03-17, 21:18:18, 04:20, 43:45, Lost, 13:16,42,20,3,17,1,0.35,45
Mirage, 2020-03-24, 22:45:07, 01:57, 29:48, Won, 16:6,40,29,2,13,5,0.41,63
Cache, 2020-03-26, 22:50:01, 00:23, 43:37, Won, 16:10,42,20,6,19,2,0.2,46
Inferno, 2020-03-26, 21:54:33, 00:10, 46:53, Lost, 16:11,47,15,2,18,2,0.26,39
Train, 2020-04-09, 21:16:22, 01:00, 35:39, Lost, 16:6,52,10,5,20,0,0.4,32
Train, 2020-04-09, 19:51:42, 00:13, 45:24, Lost, 14:16,48,29,1,19,6,0.51,64
Mirage, 2020-04-19, 19:59:57, 02:41, 37:24, Lost, 7:16,51,14,5,16,2,0.14,42
Train, 2020-04-19, 19:06:45, 00:50, 44:33, Won, 16:14,34,20,2,16,3,0.45,49
Inferno, 2020-04-19, 18:33:41, 00:20, 29:03, Won, 16:2,52,17,3,10,3,0.41,39
Mirage, 2020-04-24, 20:06:06, 01:17, 45:29, Won, 16:14,58,18,5,25,2,0.55,47
Mirage, 2020-04-28, 21:46:05, 02:31, 29:42, Lost, 7:16,32,25,6,13,4,0.44,59
Mirage, 2020-04-28, 21:05:49, 00:47, 34:01, Lost, 16:4,32,10,3,18,0,0.3,26
Mirage, 2020-04-29, 21:46:58, 01:13, 37:31, Won, 16:10,32,25,5,17,5,0.28,62
Dust II, 2020-04-30, 21:06:42, 00:29, 46:08, Lost, 14:16,70,22,4,23,4,0.5,54
Mirage, 2020-04-30, 20:13:06, 01:13, 41:12, Lost, 10:16,35,24,6,19,5,0.41,60
Overpass, 2020-05-04, 21:23:53, 00:32, 46:30, Won, 16:10,50,24,7,16,5,0.37,60
Train, 2020-05-04, 20:28:49, 00:21, 46:10, Won, 16:11,55,21,6,20,2,0.23,54
Mirage, 2020-05-08, 21:22:06, 00:21, 47:09, Won, 16:12,50,22,8,18,1,0.22,53
Mirage, 2020-05-08, 20:37:10, 00:22, 38:16, Lost, 16:10,40,13,1,24,1,0.3,29
Mirage, 2020-05-16, 21:08:07, 00:56, 30:18, Lost, 5:16,47,22,4,10,3,0.31,59
Dust II, 2020-06-11, 19:52:49, 00:20, 32:45, Lost, 16:7,54,11,1,20,1,0.54,26
Cache, 2020-06-11, 19:11:13, 00:30, 33:40, Lost, 4:16,33,15,3,17,1,0.25,35
Overpass, 2020-06-15, 21:45:53, 00:19, 46:01, Lost, 16:13,47,18,4,22,3,0.11,49
Nuke, 2020-06-19, 20:53:27, 01:12, 48:11, Won, 16:10,39,18,4,13,2,0.33,43
Overpass, 2020-06-29, 20:45:13, 01:14, 36:19, Lost, 6:16,34,12,3,16,1,0.23,32
Dust II, 2020-07-03, 21:26:53, 00:20, 32:23, Lost, 16:6,51,17,3,17,2,0.41,42
Overpass, 2020-07-03, 20:46:13, 00:41, 33:58, Lost, 16:5,39,13,5,18,2,0.53,34
Train, 2020-07-09, 21:34:54, 00:16, 41:11, Lost, 16:13,47,31,3,19,4,0.38,74
Nuke, 2020-07-09, 21:06:14, 01:19, 23:43, Won, 11:5,47,16,4,9,4,0.25,36
Nuke, 2020-07-12, 22:26:58, 01:02, 31:02, Lost, 5:16,59,15,5,11,4,0.2,38
Inferno, 2020-07-12, 21:46:18, 01:03, 33:19, Lost, 16:6,47,7,1,17,1,0.85,18
Mirage, 2020-07-14, 22:05:14, 00:38, 43:36, Lost, 14:16,56,30,6,21,3,0.33,72
Mirage, 2020-07-14, 21:19:38, 00:17, 41:11, Lost, 8:16,36,20,5,11,4,0.3,50
Mirage, 2020-08-02, 22:44:54, 01:45, 43:33, Lost, 13:16,48,20,6,23,3,0.35,52
Overpass, 2020-08-02, 21:53:34, 00:15, 44:27, Lost, 13:16,59,21,6,23,0,0.33,50
Mirage, 2020-08-19, 21:51:56, 00:14, 45:32, Lost, 13:16,47,25,7,23,6,0.28,66
Cache, 2020-08-26, 22:17:09, 00:25, 31:05, Won, 16:4,39,21,4,8,3,0.19,46
Dust II, 2020-08-26, 21:16:37, 00:59, 43:08, Lost, 14:16,47,21,4,21,3,0.47,60
Inferno, 2020-09-01, 20:54:44, 01:01, 35:11, Lost, 8:16,32,18,1,10,2,0.55,46
Overpass, 2020-09-01, 20:07:00, 00:18, 39:13, Lost, 16:12,48,16,3,22,2,0.37,38
Mirage, 2020-09-07, 16:46:11, 00:20, 43:37, Tie, 15:15,48,29,4,17,6,0.41,65
Dust II, 2020-09-07, 16:26:43, 00:46, 05:55, Won, 7:0,0,-1,1,2,0,0,0
Mirage, 2020-09-07, 15:35:47, 00:20, 42:58, Lost, 16:13,47,24,5,22,3,0.33,60
Mutiny, 2020-09-12, 20:11:40, 02:26, 39:05, Won, 16:8,46,28,6,12,7,0.42,70
Mutiny, 2020-09-12, 19:35:48, 03:30, 23:33, Won, 10:4,35,20,0,6,6,0.5,42
Train, 2020-09-17, 20:16:03, 01:07, 29:41, Lost, 8:12,35,10,0,15,1,0.3,22
Inferno, 2020-09-17, 19:24:19, 00:55, 46:33, Lost, 11:16,47,19,5,18,2,0.15,54
Mirage, 2020-09-21, 22:03:08, 01:09, 39:59, Lost, 16:8,48,24,3,20,2,0.29,51
Mirage, 2020-09-21, 21:10:44, 00:22, 46:25, Tie, 15:15,55,20,4,23,3,0.3,46
Inferno, 2020-09-24, 17:54:01, 00:13, 40:53, Lost, 7:16,39,16,3,15,3,0.25,44
Train, 2020-09-24, 17:18:25, 00:12, 30:01, Lost, 4:16,47,12,5,20,0,0.41,29
Mirage, 2020-09-28, 21:53:45, 01:00, 28:54, Won, 16:4,42,15,3,9,4,0.53,38
Overpass, 2020-09-28, 21:08:49, 00:11, 34:42, Lost, 16:7,42,9,3,19,0,0.55,24
Mirage, 2020-09-28, 20:25:05, 01:23, 38:45, Won, 16:9,52,18,2,12,2,0.44,51
Overpass, 2020-10-08, 22:27:03, 00:24, 53:11, Tie, 15:15,31,30,7,22,4,0.3,78
Dust II, 2020-10-08, 21:33:19, 00:51, 32:52, Lost, 4:16,39,11,4,18,0,0.63,28
Mirage, 2020-10-08, 20:37:19, 00:54, 42:13, Lost, 11:16,47,22,6,21,4,0.59,54
Cache, 2020-10-13, 22:29:11, 01:19, 34:58, Lost, 16:7,47,17,4,18,3,0.29,38
Cache, 2020-10-13, 22:05:35, 00:12, 19:36, Lost, 11:2,34,5,0,11,0,0.2,13
Inferno, 2020-10-14, 21:21:01, 00:50, 40:15, Won, 16:10,49,12,3,17,2,0.16,36
Dust II, 2020-10-14, 20:35:01, 00:18, 35:41, Lost, 16:11,49,13,6,21,1,0.38,35
Inferno, 2020-10-20, 20:47:24, 00:15, 43:08, Lost, 8:16,57,16,4,12,5,0.25,40
Inferno, 2020-10-29, 22:54:08, 00:33, 37:38, Lost, 8:16,39,15,2,15,1,0.26,39
Vertigo, 2020-11-06, 21:54:58, 00:13, 38:19, Won, 16:10,50,25,8,15,6,0.26,64
Vertigo, 2020-11-06, 21:03:06, 00:21, 47:13, Lost, 14:16,39,28,4,23,4,0.53,65
Mirage, 2020-11-12, 22:41:34, 00:44, 52:34, Tie, 15:15,37,41,6,18,7,0.26,107
Inferno, 2020-12-03, 22:35:11, 01:42, 43:48, Won, 16:9,55,16,3,16,2,0.43,40
Overpass, 2020-12-04, 23:34:37, 00:12, 51:47, Tie, 15:15,47,17,2,22,4,0.17,54
de_engage, 2020-12-04, 15:04:08, 02:25, 29:33, Tie, 15:15,47,10,5,23,1,0.54,29
de_engage, 2020-12-04, 14:18:56, 00:32, 36:51, Won, 16:7,47,19,1,16,2,0.26,41
Mirage, 2020-12-11, 21:37:38, 02:52, 46:59, Lost, 16:12,47,23,4,21,3,0.3,61
cs_apollo, 2020-12-11, 20:34:50, 02:02, 48:33, Lost, 13:16,56,23,5,19,3,0.2,62
cs_apollo, 2020-12-11, 19:56:10, 01:00, 33:49, Lost, 16:10,54,12,0,23,1,0.33,25
cs_apollo, 2020-12-11, 19:50:26, 00:22, 02:08, Won, 3:0,35,1,0,0,0,0,3
de_ancient, 2020-12-20, 23:37:48, 00:32, 39:30, Lost, 8:16,52,17,7,19,1,0.29,42
de_ancient, 2020-12-20, 22:43:08, 00:27, 44:17, Won, 16:13,37,20,6,25,2,0.15,49
Inferno, 2020-12-24, 16:08:22, 00:42, 52:59, Tie, 15:15,58,25,7,23,5,0.36,58
Dust II, 2020-12-24, 15:12:30, 00:26, 49:21, Won, 16:12,42,18,8,23,2,0.38,56
Mirage, 2020-12-24, 14:46:30, 00:40, 21:12, Lost, 2:16,49,13,1,18,1,0.46,32
Mirage, 2020-12-30, 22:44:46, 00:53, 39:33, Lost, 10:16,58,12,3,19,3,0,34
Mirage, 2020-12-30, 21:55:35, 02:15, 44:04, Lost, 11:16,54,19,3,18,6,0.47,60
Mirage, 2020-12-30, 21:24:55, 03:33, 25:42, Lost, 2:16,57,9,4,17,0,0.22,23
Vertigo, 2021-01-04, 22:43:58, 04:26, 36:19, Lost, 10:16,53,20,0,17,2,0.25,48
Mirage, 2021-01-11, 22:50:33, 01:38, 45:08, Tie, 15:15,55,27,5,18,7,0.51,64
Nuke, 2021-01-13, 22:52:24, 01:34, 32:07, Won, 16:7,55,18,5,11,4,0.44,46
Nuke, 2021-01-14, 21:53:36, 02:45, 39:44, Lost, 16:8,56,20,2,18,4,0.4,42
Dust II, 2021-01-21, 21:03:49, 03:35, 41:00, Tie, 15:15,58,19,8,23,4,0.36,52
Dust II, 2021-01-22, 21:27:10, 06:46, 49:34, Won, 16:14,55,19,1,20,2,0.52,45
de_ancient, 2021-01-26, 23:43:55, 00:13, 25:51, Tie, 15:15,59,13,3,20,2,0.46,34
de_ancient, 2021-01-26, 23:04:45, 01:09, 34:31, Won, 16:7,56,9,3,15,2,0.6,29
Inferno, 2021-02-01, 22:09:16, 00:35, 32:59, Lost, 4:16,41,5,4,20,1,0.2,16
Inferno, 2021-02-01, 18:01:41, 01:48, 57:14, Lost, 14:16,55,23,3,20,3,0.47,58
Train, 2021-02-07, 23:04:48, 00:51, 49:54, Tie, 15:15,32,26,4,21,5,0.34,73
Cache, 2021-02-10, 22:23:03, 00:24, 35:18, Lost, 8:16,57,15,2,14,2,0.33,43
Train, 2021-02-10, 21:41:03, 00:20, 38:45, Lost, 10:16,47,18,7,21,1,0.27,55
Cache, 2021-02-11, 21:48:02, 00:15, 46:26, Lost, 16:13,56,19,5,23,2,0.26,49
Train, 2021-02-11, 21:05:46, 00:43, 38:13, Lost, 9:16,47,13,6,18,3,0.38,44
Inferno, 2021-02-16, 17:24:34, 00:18, 37:59, Lost, 16:6,59,15,3,17,2,0.53,36
Train, 2021-02-16, 16:32:10, 00:36, 45:52, Lost, 13:16,32,25,4,22,5,0.24,61
Cache, 2021-02-18, 20:16:36, 00:17, 51:02, Won, 16:14,52,14,1,16,5,0.14,43
Nuke, 2021-02-19, 22:41:08, 00:20, 37:52, Lost, 6:16,42,25,3,12,2,0.28,57
Nuke, 2021-02-22, 22:10:37, 01:03, 45:17, Lost, 11:16,42,16,6,21,4,0.25,50
Inferno, 2021-02-22, 21:21:25, 01:01, 43:36, Lost, 9:16,33,17,4,18,3,0.29,49
Cache, 2021-02-26, 22:17:11, 00:35, 40:43, Lost, 10:16,47,19,3,20,2,0.1,48
Mirage, 2021-03-08, 22:35:08, 01:38, 34:50, Won, 16:6,55,24,4,13,5,0.41,52
Vertigo, 2021-03-15, 22:18:49, 00:58, 37:57, Lost, 10:16,57,21,2,20,2,0.33,46
Dust II, 2021-03-15, 23:03:45, 01:57, 45:14, Tie, 15:15,57,24,9,26,3,0.25,60
